"","tour","arrivee_page","arrivee_ville","date","depart_page","depart_ville","km","type","vainqueur_nom","vainqueur_page","étape","year"
"21",3,"Rennes","Rennes","27/7","La Rochelle","La Rochelle",263,"non renseigné","Louis Trousselier","Louis Trousselier","9 ",1905
"34",4,"Brest","Brest","24/7","Nantes","Nantes",321,"non renseigné","Louis Trousselier","Louis Trousselier","11 ",1906
"48",5,"Brest","Brest","30/7","Nantes","Nantes",321,"non renseigné","Gustave Garrigou","Gustave Garrigou","12 ",1907
"62",6,"Brest","Brest","4/8","Nantes","Nantes",321,"non renseigné","François Faber","François Faber","12 ",1908
"76",7,"Brest","Brest","27/7","Nantes","Nantes",321,"non renseigné","Gustave Garrigou","Gustave Garrigou","12 ",1909
"91",8,"Brest","Brest","27/7","Nantes","Nantes",321,"non renseigné","Gustave Garrigou","Gustave Garrigou","13 ",1910
"105",9,"Brest","Brest","23/7","La Rochelle","La Rochelle",470,"non renseigné","Marcel Godivier","Marcel Godivier","12 ",1911
"120",10,"Brest","Brest","22/7","La Rochelle","La Rochelle",470,"non renseigné","Louis Heusghem","Louis Heusghem","12 ",1912
"126",11,"Brest","Brest","3/7","Cherbourg-Octeville","Cherbourg",405,"non renseigné","Henri Pélissier","Henri Pélissier","3 ",1913
"141",12,"Brest","Brest","3/7","Cherbourg-Octeville","Cherbourg",405,"non renseigné","Émile Engel","Émile Engel (cyclisme)","3 ",1914
"156",13,"Brest","Brest","3/7","Cherbourg-Octeville","Cherbourg",405,"non renseigné","Francis Pélissier","Francis Pélissier","3 ",1919
"171",14,"Brest","Brest","1/7","Cherbourg-Octeville","Cherbourg",405,"non renseigné","Henri Pélissier","Henri Pélissier","3 ",1920
"186",15,"Brest","Brest","30/6","Cherbourg-Octeville","Cherbourg",405,"non renseigné","Léon Scieur","Léon Scieur","3 ",1921
"201",16,"Brest","Brest","29/6","Cherbourg-Octeville","Cherbourg",405,"non renseigné","Robert Jacquinot","Robert Jacquinot","3 ",1922
"216",17,"Brest","Brest","28/6","Cherbourg-Octeville","Cherbourg",405,"non renseigné","Henri Pélissier","Henri Pélissier","3 ",1923
"231",18,"Brest","Brest","26/6","Cherbourg-Octeville","Cherbourg",405,"non renseigné","Théophile Beeckman","Théophile Beeckman","3 ",1924
"246",19,"Brest","Brest","25/6","Cherbourg-Octeville","Cherbourg",405,"non renseigné","Louis Mottiat","Louis Mottiat","3 ",1925
"247",19,"Vannes","Vannes","26/6","Brest","Brest",208,"non renseigné","Nicolas Frantz","Nicolas Frantz","4 ",1925
"267",20,"Brest","Brest","","Cherbourg-Octeville","Cherbourg",405,"non renseigné","Joseph Van Dam","Joseph Van Dam","6 ",1926
"283",21,"Dinan","Dinan","","Cherbourg-Octeville","Cherbourg",199,"non renseigné","Ferdinand Le Drogo","Ferdinand Le Drogo","5 ",1927
"284",21,"Brest","Brest","","Dinan","Dinan",206,"non renseigné","André Leducq","André Leducq","6 ",1927
"285",21,"Vannes","Vannes","","Brest","Brest",207,"non renseigné","Gustave Van Slembrouck","Gustave Van Slembrouck","7 ",1927
"305",22,"Dinan","Dinan","","Cherbourg-Octeville","Cherbourg",199,"non renseigné","Gaston Rebry","Gaston Rebry (cyclisme)","3 ",1928
"306",22,"Brest","Brest","","Dinan","Dinan",206,"non renseigné","Pé Verhaegen","Pé Verhaegen","4 ",1928
"307",22,"Vannes","Vannes","","Brest","Brest",199,"non renseigné","Marcel Bidot","Marcel Bidot","5 ",1928
"327",23,"Dinan","Dinan","","Cherbourg-Octeville","Cherbourg",199,"non renseigné","Omer Taverne","Omer Taverne","3 ",1929
